     Angle,       PSD,
   23.5369,        37,
    23.547,        37,
   23.5571,        33,
   23.5672,        34,
   23.5773,        22,
   23.5875,        35,
   23.5976,        32,
   23.6077,        31,
   23.6178,        27,
   23.6279,        25,
   23.6381,        34,
   23.6482,        31,
   23.6583,        29,
   23.6684,        30,
   23.6785,        42,
   23.6886,        32,
   23.6988,        29,
   23.7089,        43,
    23.719,        45,
   23.7291,        33,
   23.7392,        37,
   23.7494,        31,
   23.7595,        33,
   23.7696,        33,
   23.7797,        31,
   23.7898,        38,
      23.8,        35,
   23.8101,        27,
   23.8202,        39,
   23.8303,        37,
   23.8404,        34,
   23.8505,        34,
   23.8607,        51,
   23.8708,        32,
   23.8809,        37,
    23.891,        46,
   23.9011,        34,
   23.9113,        40,
   23.9214,        47,
   23.9315,        41,
   23.9416,        49,
   23.9517,        56,
   23.9619,        67,
    23.972,        73,
   23.9821,        61,
   23.9922,        54,
   24.0023,        43,
   24.0124,        37,
   24.0226,        53,
   24.0327,        57,
   24.0428,        56,
   24.0529,        48,
    24.063,        44,
   24.0732,        29,
   24.0833,        29,
   24.0934,        33,
   24.1035,        34,
   24.1136,        34,
   24.1237,        37,
   24.1339,        28,
    24.144,        28,
   24.1541,        39,
   24.1642,        22,
   24.1743,        37,
   24.1845,        49,
   24.1946,        23,
   24.2047,        23,
   24.2148,        30,
   24.2249,        45,
